MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Condition1,SalePrice
RL,103.48718480373643,19590,NWAmes,1Fam,2Story,1,7,1976,1982,CemntBd,Slab,,Ex,Y,1198,550,1945,2,1,3,1,Fa,1,Attchd,2,470.0,0,10,5,0,0,4,2007,WD,Partial,Norm,430287
FV,,11321,ClearCr,1Fam,2Story,8,9,1958,2010,Wd Sdng,CBlock,716.0,TA,Y,911,850,1401,2,1,3,1,Ex,2,Attchd,1,190.0,11,24,10,0,0,2,2011,New,Abnorml,Norm,526267
RL,97.82866358510624,7397,ClearCr,TwnhsE,1.5Fin,7,6,1931,1955,HdBoard,BrkTil,1390.0,TA,Y,834,650,1087,2,0,3,1,TA,1,Attchd,2,251.0,79,6,27,0,0,6,2007,WD,Normal,Norm,576599
C (all),49.17521527375773,12141,Gilbert,1Fam,SLvl,5,4,1992,1992,VinylSd,CBlock,1190.0,Ex,Y,1415,300,1477,1,0,2,1,Ex,1,Attchd,2,411.0,269,2,64,400,0,3,2017,WD,Normal,Norm,565994
RM,71.45555139883098,8619,Edwards,1Fam,SLvl,5,9,1989,1989,VinylSd,PConc,1181.0,Gd,Y,1080,1150,1919,1,0,3,1,Gd,0,BuiltIn,2,587.0,286,13,1,0,500,11,2021,COD,Normal,Feedr,598565
RL,,4923,NAmes,1Fam,1Story,9,4,2019,2019,Plywood,CBlock,1374.0,TA,Y,1706,0,1109,2,0,5,1,Gd,0,Attchd,3,581.0,182,4,0,0,0,9,2016,WD,Normal,Artery,693046
RL,92.62714304506636,13304,OldTown,Duplex,1.5Fin,1,1,2002,2002,MetalSd,CBlock,1843.0,Gd,Y,1113,1750,1135,2,1,3,1,Fa,0,Attchd,2,503.0,23,14,14,0,2000,12,2018,WD,Normal,Feedr,592927
RL,61.5948420459953,14971,Sawyer,TwnhsE,2Story,7,2,1947,2018,HdBoard,PConc,487.0,Gd,N,822,0,1723,1,0,3,1,Gd,0,CarPort,2,535.0,60,80,1,0,0,12,2008,Oth,Partial,Norm,599665
RL,81.1013944014269,9256,NridgHt,1Fam,1Story,3,6,1987,1990,VinylSd,PConc,778.0,Gd,Y,1468,600,1411,1,1,4,1,Gd,1,CarPort,1,219.0,25,19,21,0,0,11,2022,COD,Normal,Artery,504053
RH,78.42358167328452,8991,Sawyer,1Fam,SLvl,1,4,1943,1979,Wd Sdng,PConc,815.0,Gd,Y,1289,1650,1758,1,0,3,1,Gd,1,Detchd,3,674.0,35,63,29,350,0,7,2009,WD,Abnorml,Norm,574640
FV,59.2012164281452,6653,Gilbert,1Fam,SLvl,6,9,2008,2008,Plywood,PConc,744.0,Ex,Y,1318,300,1494,2,1,4,1,Gd,1,Attchd,2,302.0,42,7,10,0,0,3,2015,New,Normal,Feedr,470828
